id,date,line,part_ref,defect_code,qty,disposition,operator,comment
NC-0001,2026-06-01,L2,P-2002,D03,1,REWORK,NCH,insert manquant
NC-0002,2026-06-01,L4,P-2002,D02,2,REWORK,MKH,choc manutention
NC-0003,2026-06-02,L3,P-3001,D01,2,ACCEPT,SAR,rayure apres detourage
NC-0004,2026-06-02,L3,P-3001,D03,2,REWORK,MKH,insert manquant
NC-0005,2026-06-02,L4,P-2001,D08,1,REWORK,TBN,marquage illisible
NC-0006,2026-06-03,L1,P-1001,D01,6,ACCEPT,YLD,rayure apres detourage
NC-0007,2026-06-03,L1,P-1002,D02,1,SCRAP,JLB,
NC-0008,2026-06-03,L2,P-2002,D01,1,REWORK,SAR,rayure face visible
NC-0009,2026-06-03,L3,P-3001,D01,1,ACCEPT,TBN,rayure apres detourage
NC-0010,2026-06-03,L3,P-3001,D04,2,ACCEPT,RMZ,cle non etalonnee?
NC-0011,2026-06-04,L1,P-1002,D01,1,REWORK,YLD,rayure apres detourage
NC-0012,2026-06-04,L2,P-2001,D08,2,REWORK,MKH,etiquette erronee
NC-0013,2026-06-04,L2,P-2002,D03,1,SCRAP,MKH,insert manquant
NC-0014,2026-06-05,L1,P-1001,D05,3,REWORK,MKH,cote hors tol.
NC-0015,2026-06-05,L3,P-3001,D05,1,REWORK,RMZ,cote hors tol.
NC-0016,2026-06-05,L3,P-1001,D05,2,SCRAP,JLB,cote hors tol.
NC-0017,2026-06-05,L4,P-2001,D06,1,SCRAP,SAR,
NC-0018,2026-06-06,L4,P-2002,D01,2,REWORK,JLB,rayure face visible
NC-0019,2026-06-06,L4,P-2001,D01,2,REWORK,SAR,rayure apres detourage
NC-0020,2026-06-08,L3,P-3001,D05,4,SCRAP,TBN,
NC-0021,2026-06-08,L3,P-1001,D01,6,REWORK,TBN,rayure face visible
NC-0022,2026-06-08,L4,P-2002,D05,1,REWORK,RMZ,epaisseur hors tol.
NC-0023,2026-06-08,L4,P-2001,D05,1,REWORK,MKH,epaisseur hors tol.
NC-0024,2026-06-09,L2,P-2001,D06,1,SCRAP,YLD,decollement peau
NC-0025,2026-06-09,L2,P-2001,D02,1,REWORK,NCH,enfoncement coin
NC-0026,2026-06-10,L2,P-2002,D02,3,REWORK,RMZ,choc manutention
NC-0027,2026-06-10,L4,P-2002,D01,1,REWORK,RMZ,
NC-0028,2026-06-10,L4,P-2002,D05,2,REWORK,NCH,
NC-0029,2026-06-12,L2,P-2001,D05,1,SCRAP,RMZ,
NC-0030,2026-06-12,L4,P-2002,D03,1,REWORK,SAR,insert manquant
NC-0031,2026-06-14,L4,P-2002,D07,2,SCRAP,JLB,FOD trouve
NC-0032,2026-06-14,L4,P-2002,D04,2,REWORK,AFD,cle non etalonnee?
NC-0033,2026-06-14,L4,P-2002,D01,2,REWORK,TBN,
NC-0034,2026-06-15,L1,P-1001,D07,3,SCRAP,RMZ,FOD trouve
NC-0035,2026-06-15,L2,P-2002,D05,1,SCRAP,JLB,cote hors tol.
NC-0036,2026-06-15,L4,P-2001,D06,2,SCRAP,TBN,
NC-0037,2026-06-16,L1,P-1001,D03,1,REWORK,MKH,fixation absente
NC-0038,2026-06-16,L3,P-1001,D05,1,SCRAP,MKH,epaisseur hors tol.
NC-0039,2026-06-17,L1,P-1002,D03,5,REWORK,NCH,
NC-0040,2026-06-17,L2,P-2002,D02,2,REWORK,MKH,retouche stock veille
NC-0041,2026-06-18,L1,P-1001,D03,4,SCRAP,YLD,
NC-0042,2026-06-18,L1,P-1002,D01,1,ACCEPT,AFD,rayure apres detourage
NC-0043,2026-06-18,L3,P-3001,D01,1,ACCEPT,TBN,rayure face visible
NC-0044,2026-06-19,L2,P-2002,D01,1,REWORK,JLB,
NC-0045,2026-06-21,L4,P-2002,D06,2,SCRAP,TBN,decollement peau
NC-0046,2026-06-23,L1,P-1002,D01,24,REWORK,RMZ,lot complet raye - bande convoyeur
NC-0047,2026-06-23,L1,P-1001,D02,4,REWORK,JLB,enfoncement coin
NC-0048,2026-06-23,L2,P-2001,D05,2,SCRAP,YLD,cote hors tol.
NC-0049,2026-06-24,L3,P-1001,D02,1,SCRAP,JLB,
NC-0050,2026-06-24,L4,P-2002,D08,1,ACCEPT,JLB,etiquette erronee
NC-0051,2026-06-25,L1,P-1001,D01,2,ACCEPT,YLD,
NC-0052,2026-06-25,L1,P-1002,D03,3,SCRAP,MKH,insert manquant
NC-0053,2026-06-25,L2,P-2002,D08,1,ACCEPT,,
NC-0054,2026-06-25,L2,P-2001,D01,5,REWORK,NCH,rayure apres detourage
NC-0055,2026-06-25,L2,P-2001,D08,1,REWORK,TBN,etiquette erronee
NC-0056,2026-06-25,L3,P-3001,D02,3,REWORK,JLB,enfoncement coin
NC-0057,2026-06-25,L4,P-2001,D05,2,SCRAP,NCH,epaisseur hors tol.
NC-0058,2026-06-26,L2,P-2002,D04,3,ACCEPT,AFD,
NC-0059,2026-06-26,L2,P-2002,D05,2,REWORK,AFD,epaisseur hors tol.
NC-0060,2026-06-26,L3,P-3001,D06,1,SCRAP,YLD,delaminage bord
NC-0061,2026-06-26,L3,P-1001,D05,1,REWORK,RMZ,cote hors tol.
NC-0062,2026-06-26,L4,P-2002,D02,1,REWORK,AFD,
NC-0063,2026-06-28,L4,P-2002,D01,2,REWORK,YLD,
NC-0064,2026-06-28,L4,P-2002,D05,3,SCRAP,TBN,epaisseur hors tol.
NC-0065,2026-06-29,L1,P-1002,D02,2,REWORK,NCH,
NC-0066,2026-06-29,L2,P-2002,D02,1,SCRAP,MKH,
NC-0067,2026-06-29,L3,P-3001,D05,4,SCRAP,TBN,
NC-0068,2026-06-30,L2,P-2001,D05,1,REWORK,AFD,
