date,line,qty_produced
2026-06-01,L1,53
2026-06-01,L2,40
2026-06-01,L3,59
2026-06-01,L4,102
2026-06-02,L1,57
2026-06-02,L2,44
2026-06-02,L3,56
2026-06-02,L4,116
2026-06-03,L1,52
2026-06-03,L2,53
2026-06-03,L3,55
2026-06-03,L4,95
2026-06-04,L1,52
2026-06-04,L2,46
2026-06-04,L3,58
2026-06-04,L4,111
2026-06-05,L1,50
2026-06-05,L2,46
2026-06-05,L3,65
2026-06-05,L4,117
2026-06-06,L4,112
2026-06-07,L4,108
2026-06-08,L1,57
2026-06-08,L2,54
2026-06-08,L3,64
2026-06-08,L4,103
2026-06-09,L1,50
2026-06-09,L2,45
2026-06-09,L3,61
2026-06-09,L4,105
2026-06-10,L1,58
2026-06-10,L2,44
2026-06-10,L3,58
2026-06-10,L4,119
2026-06-11,L1,60
2026-06-11,L2,43
2026-06-11,L3,56
2026-06-11,L4,107
2026-06-12,L1,53
2026-06-12,L2,51
2026-06-12,L3,60
2026-06-12,L4,114
2026-06-13,L4,103
2026-06-14,L4,120
2026-06-15,L1,51
2026-06-15,L2,54
2026-06-15,L3,63
2026-06-15,L4,98
2026-06-16,L1,62
2026-06-16,L2,42
2026-06-16,L3,63
2026-06-16,L4,104
2026-06-17,L1,61
2026-06-17,L2,0
2026-06-17,L3,56
2026-06-17,L4,96
2026-06-18,L1,57
2026-06-18,L2,49
2026-06-18,L3,56
2026-06-18,L4,102
2026-06-19,L1,53
2026-06-19,L2,52
2026-06-19,L3,59
2026-06-19,L4,109
2026-06-20,L4,115
2026-06-21,L4,106
2026-06-22,L1,55
2026-06-22,L2,51
2026-06-22,L3,60
2026-06-22,L4,101
2026-06-23,L1,58
2026-06-23,L2,42
2026-06-23,L3,64
2026-06-23,L4,115
2026-06-24,L1,55
2026-06-24,L2,47
2026-06-24,L3,57
2026-06-24,L4,109
2026-06-25,L1,62
2026-06-25,L2,48
2026-06-25,L3,65
2026-06-25,L4,117
2026-06-26,L1,57
2026-06-26,L2,50
2026-06-26,L3,55
2026-06-26,L4,102
2026-06-27,L4,96
2026-06-28,L4,120
2026-06-29,L1,60
2026-06-29,L2,52
2026-06-29,L3,60
2026-06-29,L4,97
2026-06-30,L1,56
2026-06-30,L2,50
2026-06-30,L3,60
2026-06-30,L4,115
2026-07-01,L1,65
2026-07-01,L2,52
2026-07-01,L3,60
2026-07-01,L4,109
2026-07-02,L1,54
2026-07-02,L2,48
2026-07-02,L3,60
2026-07-02,L4,102
2026-07-03,L1,58
2026-07-03,L2,53
2026-07-03,L3,60
2026-07-03,L4,107
2026-07-04,L4,106
2026-07-05,L4,102
2026-07-06,L1,54
2026-07-06,L2,55
2026-07-06,L3,56
2026-07-06,L4,119
2026-07-07,L1,51
2026-07-07,L2,43
2026-07-07,L3,57
2026-07-07,L4,115
2026-07-08,L1,55
2026-07-08,L2,53
2026-07-08,L3,64
2026-07-08,L4,97
2026-07-09,L1,62
2026-07-09,L2,52
2026-07-09,L3,64
2026-07-09,L4,109
2026-07-10,L1,58
2026-07-10,L2,40
2026-07-10,L3,65
2026-07-10,L4,118
2026-07-11,L4,98
2026-07-12,L4,116
2026-07-13,L1,58
2026-07-13,L2,50
2026-07-13,L3,56
2026-07-13,L4,104
2026-07-14,L1,63
2026-07-14,L2,45
2026-07-14,L3,62
2026-07-14,L4,95
2026-07-15,L1,58
2026-07-15,L2,45
2026-07-15,L3,63
2026-07-15,L4,98
2026-07-16,L1,59
2026-07-16,L2,46
2026-07-16,L3,57
2026-07-16,L4,106
2026-07-17,L1,55
2026-07-17,L2,40
2026-07-17,L3,64
2026-07-17,L4,105
2026-07-18,L4,110
2026-07-19,L4,95
2026-07-20,L1,53
2026-07-20,L2,51
2026-07-20,L3,59
2026-07-20,L4,102
2026-07-21,L1,51
2026-07-21,L2,47
2026-07-21,L3,64
2026-07-21,L4,97
2026-07-22,L1,52
2026-07-22,L2,55
2026-07-22,L3,56
2026-07-22,L4,119
2026-07-23,L1,54
2026-07-23,L2,44
2026-07-23,L3,65
2026-07-23,L4,110
2026-07-24,L1,55
2026-07-24,L2,48
2026-07-24,L3,63
2026-07-24,L4,114
2026-07-25,L4,108
2026-07-26,L4,101
