semaine_du,rang,code,libelle,qte,pct,cumul_pct,prioritaire
2026-05-31,1,D01,Surface scratch,15,44.12,44.12,X
2026-05-31,2,D05,Dimensional out of tolerance,6,17.65,61.76,X
2026-05-31,3,D03,Missing fastener,4,11.76,73.53,X
2026-05-31,4,D02,Dent,3,8.82,82.35,X
2026-05-31,5,D08,Label / marking error,3,8.82,91.18,
2026-05-31,6,D04,Wrong torque,2,5.88,97.06,
2026-05-31,7,D06,Delamination,1,2.94,100.00,
2026-06-07,1,D05,Dimensional out of tolerance,9,40.91,40.91,X
2026-06-07,2,D01,Surface scratch,7,31.82,72.73,X
2026-06-07,3,D02,Dent,4,18.18,90.91,X
2026-06-07,4,D03,Missing fastener,1,4.55,95.45,
2026-06-07,5,D06,Delamination,1,4.55,100.00,
2026-06-14,1,D03,Missing fastener,10,35.71,35.71,X
2026-06-14,2,D01,Surface scratch,5,17.86,53.57,X
2026-06-14,3,D07,Contamination (FOD),5,17.86,71.43,X
2026-06-14,4,D02,Dent,2,7.14,78.57,X
2026-06-14,5,D04,Wrong torque,2,7.14,85.71,X
2026-06-14,6,D05,Dimensional out of tolerance,2,7.14,92.86,
2026-06-14,7,D06,Delamination,2,7.14,100.00,
2026-06-21,1,D01,Surface scratch,31,52.54,52.54,X
2026-06-21,2,D02,Dent,9,15.25,67.80,X
2026-06-21,3,D05,Dimensional out of tolerance,7,11.86,79.66,X
2026-06-21,4,D03,Missing fastener,3,5.08,84.75,X
2026-06-21,5,D04,Wrong torque,3,5.08,89.83,
2026-06-21,6,D06,Delamination,3,5.08,94.92,
2026-06-21,7,D08,Label / marking error,3,5.08,100.00,
2026-06-28,1,D01,Surface scratch,13,28.89,28.89,X
2026-06-28,2,D05,Dimensional out of tolerance,10,22.22,51.11,X
2026-06-28,3,D08,Label / marking error,9,20.00,71.11,X
2026-06-28,4,D03,Missing fastener,4,8.89,80.00,X
2026-06-28,5,D04,Wrong torque,4,8.89,88.89,
2026-06-28,6,D02,Dent,3,6.67,95.56,
2026-06-28,7,D06,Delamination,2,4.44,100.00,
2026-07-05,1,D02,Dent,25,32.05,32.05,X
2026-07-05,2,D01,Surface scratch,17,21.79,53.85,X
2026-07-05,3,D06,Delamination,12,15.38,69.23,X
2026-07-05,4,D03,Missing fastener,11,14.10,83.33,X
2026-07-05,5,D08,Label / marking error,6,7.69,91.03,
2026-07-05,6,D05,Dimensional out of tolerance,5,6.41,97.44,
2026-07-05,7,D07,Contamination (FOD),2,2.56,100.00,
2026-07-12,1,D05,Dimensional out of tolerance,28,45.16,45.16,X
2026-07-12,2,D01,Surface scratch,11,17.74,62.90,X
2026-07-12,3,D03,Missing fastener,10,16.13,79.03,X
2026-07-12,4,D06,Delamination,6,9.68,88.71,X
2026-07-12,5,D07,Contamination (FOD),4,6.45,95.16,
2026-07-12,6,D04,Wrong torque,3,4.84,100.00,
2026-07-19,1,D01,Surface scratch,10,27.03,27.03,X
2026-07-19,2,D05,Dimensional out of tolerance,10,27.03,54.05,X
2026-07-19,3,D08,Label / marking error,6,16.22,70.27,X
2026-07-19,4,D03,Missing fastener,4,10.81,81.08,X
2026-07-19,5,D04,Wrong torque,4,10.81,91.89,
2026-07-19,6,D02,Dent,2,5.41,97.30,
2026-07-19,7,D07,Contamination (FOD),1,2.70,100.00,
