semaine,ligne,produit,nb_def,tx_def,rebut,tx_rebut,statut,cnq_eur
2026-W23,L1,264,11,4.17,1,0.38,VERT,593
2026-W23,L2,229,5,2.18,1,0.44,VERT,1192
2026-W23,L3,293,10,3.41,2,0.68,VERT,953
2026-W23,L4,761,4,0.53,1,0.13,VERT,703
2026-W24,L1,278,0,0.00,0,0.00,VERT,0
2026-W24,L2,237,6,2.53,2,0.84,VERT,1310
2026-W24,L3,299,10,3.34,4,1.34,VERT,3628
2026-W24,L4,771,6,0.78,2,0.26,VERT,2648
2026-W25,L1,284,14,4.93,7,2.46,ORANGE,3074
2026-W25,L2,197,2,1.02,1,0.51,VERT,1161
2026-W25,L3,297,2,0.67,1,0.34,VERT,420
2026-W25,L4,730,2,0.27,4,0.55,VERT,3520
2026-W26,L1,287,33,11.50,3,1.05,VERT,1500
2026-W26,L2,238,14,5.88,2,0.84,VERT,1415
2026-W26,L3,301,6,1.99,2,0.66,VERT,1446
2026-W26,L4,760,4.5,0.59,5,0.66,VERT,4714
2026-W27,L1,293,8,2.73,0,0.00,VERT,67
2026-W27,L2,255,12,4.71,3,1.18,VERT,3527
2026-W27,L3,300,14,4.67,9,3.00,ROUGE,8044
2026-W27,L4,738,3,0.41,1,0.14,VERT,745
2026-W28,L1,280,12,4.29,3,1.07,VERT,1355
2026-W28,L2,243,14,5.76,4,1.65,VERT,2605
2026-W28,L3,306,24,7.84,12,3.92,ROUGE,9332
2026-W28,L4,772,14,1.81,17,2.20,ORANGE,16531
2026-W29,L1,293,13,4.44,9,3.07,ROUGE,3453
2026-W29,L2,226,6,2.65,5,2.21,ORANGE,5761
2026-W29,L3,302,6,1.99,1,0.33,VERT,475
2026-W29,L4,713,20,2.81,34,4.77,ROUGE,24047
2026-W30,L1,265,9,3.40,0,0.00,VERT,134
2026-W30,L2,245,13,5.31,1,0.41,VERT,1029
2026-W30,L3,307,9,2.93,0,0.00,VERT,270
2026-W30,L4,751,1.5,0.20,3,0.40,VERT,2370
